 INFO  Accepting connections at http://localhost:3000
 HTTP  12/30/2024 11:58:40 AM 188.85.79.140 GET /
 HTTP  12/30/2024 11:58:40 AM 188.85.79.140 Returned 200 in 39 ms
 HTTP  12/30/2024 11:58:40 AM 188.85.79.140 GET /static/js/main.6f3cb15b.js
 HTTP  12/30/2024 11:58:40 AM 188.85.79.140 Returned 200 in 13 ms
 HTTP  12/30/2024 11:58:40 AM 188.85.79.140 GET /static/css/main.c4d6e9a1.css
 HTTP  12/30/2024 11:58:40 AM 188.85.79.140 Returned 200 in 2 ms
 HTTP  12/30/2024 11:58:41 AM 188.85.79.140 GET /favicon.ico
 HTTP  12/30/2024 11:58:41 AM 188.85.79.140 Returned 304 in 3 ms
 HTTP  12/30/2024 12:09:14 PM 188.85.79.140 GET /
 HTTP  12/30/2024 12:09:14 PM 188.85.79.140 Returned 304 in 2 ms
 HTTP  12/30/2024 12:09:14 PM 188.85.79.140 GET /static/js/main.6f3cb15b.js
 HTTP  12/30/2024 12:09:14 PM 188.85.79.140 Returned 304 in 2 ms
 HTTP  12/30/2024 12:09:14 PM 188.85.79.140 GET /static/css/main.c4d6e9a1.css
 HTTP  12/30/2024 12:09:14 PM 188.85.79.140 Returned 304 in 0 ms
 HTTP  12/30/2024 12:09:14 PM 188.85.79.140 GET /favicon.ico
 HTTP  12/30/2024 12:09:14 PM 188.85.79.140 Returned 304 in 1 ms
 HTTP  12/30/2024 12:09:24 PM 188.85.79.140 GET /
 HTTP  12/30/2024 12:09:24 PM 188.85.79.140 Returned 200 in 2 ms
 HTTP  12/30/2024 12:09:24 PM 188.85.79.140 GET /static/css/main.c4d6e9a1.css
 HTTP  12/30/2024 12:09:24 PM 188.85.79.140 Returned 200 in 1 ms
 HTTP  12/30/2024 12:09:25 PM 188.85.79.140 GET /static/js/main.6f3cb15b.js
 HTTP  12/30/2024 12:09:25 PM 188.85.79.140 Returned 200 in 1 ms
 HTTP  12/30/2024 12:27:11 PM 188.85.79.140 GET /
 HTTP  12/30/2024 12:27:11 PM 188.85.79.140 Returned 304 in 1 ms
 HTTP  12/30/2024 12:27:11 PM 188.85.79.140 GET /static/js/main.6f3cb15b.js
 HTTP  12/30/2024 12:27:11 PM 188.85.79.140 Returned 304 in 1 ms
 HTTP  12/30/2024 12:27:11 PM 188.85.79.140 GET /static/css/main.c4d6e9a1.css
 HTTP  12/30/2024 12:27:11 PM 188.85.79.140 Returned 304 in 1 ms
 HTTP  12/30/2024 12:27:11 PM 188.85.79.140 GET /favicon.ico
 HTTP  12/30/2024 12:27:11 PM 188.85.79.140 Returned 304 in 1 ms
 HTTP  12/30/2024 12:28:46 PM 199.45.155.98 GET /
 HTTP  12/30/2024 12:28:46 PM 199.45.155.98 Returned 200 in 2 ms
 HTTP  12/30/2024 12:28:50 PM 199.45.155.98 GET /
 HTTP  12/30/2024 12:28:50 PM 199.45.155.98 Returned 200 in 3 ms
 HTTP  12/30/2024 12:28:50 PM 199.45.155.98 GET /favicon.ico
 HTTP  12/30/2024 12:28:50 PM 199.45.155.98 Returned 200 in 1 ms
 HTTP  12/30/2024 12:28:51 PM 199.45.155.98 GET /logo192.png
 HTTP  12/30/2024 12:28:51 PM 199.45.155.98 Returned 200 in 2 ms
 HTTP  12/30/2024 5:58:30 PM 13.64.108.228 GET /
 HTTP  12/30/2024 5:58:30 PM 13.64.108.228 Returned 200 in 2 ms
 HTTP  12/30/2024 8:45:59 PM 79.152.225.26 GET /
 HTTP  12/30/2024 8:45:59 PM 79.152.225.26 Returned 304 in 1 ms
 HTTP  12/30/2024 8:45:59 PM 79.152.225.26 GET /static/js/main.6f3cb15b.js
 HTTP  12/30/2024 8:45:59 PM 79.152.225.26 Returned 200 in 2 ms
 HTTP  12/30/2024 8:45:59 PM 79.152.225.26 GET /static/css/main.c4d6e9a1.css
 HTTP  12/30/2024 8:45:59 PM 79.152.225.26 Returned 304 in 0 ms
 HTTP  12/30/2024 8:45:59 PM 79.152.225.26 GET /favicon.ico
 HTTP  12/30/2024 8:45:59 PM 79.152.225.26 Returned 304 in 1 ms
 HTTP  12/30/2024 8:50:18 PM 79.152.225.26 GET /
 HTTP  12/30/2024 8:50:18 PM 79.152.225.26 Returned 304 in 1 ms
 HTTP  12/30/2024 8:50:18 PM 79.152.225.26 GET /static/js/main.6f3cb15b.js
 HTTP  12/30/2024 8:50:18 PM 79.152.225.26 GET /static/css/main.c4d6e9a1.css
 HTTP  12/30/2024 8:50:18 PM 79.152.225.26 Returned 304 in 1 ms
 HTTP  12/30/2024 8:50:18 PM 79.152.225.26 Returned 304 in 1 ms
 HTTP  12/30/2024 8:50:18 PM 79.152.225.26 GET /favicon.ico
 HTTP  12/30/2024 8:50:18 PM 79.152.225.26 Returned 304 in 1 ms
 HTTP  12/30/2024 9:30:42 PM 79.152.225.26 GET /
 HTTP  12/30/2024 9:30:42 PM 79.152.225.26 Returned 304 in 1 ms
 HTTP  12/30/2024 9:30:42 PM 79.152.225.26 GET /static/js/main.6f3cb15b.js
 HTTP  12/30/2024 9:30:42 PM 79.152.225.26 GET /static/css/main.c4d6e9a1.css
 HTTP  12/30/2024 9:30:42 PM 79.152.225.26 Returned 304 in 2 ms
 HTTP  12/30/2024 9:30:42 PM 79.152.225.26 Returned 304 in 2 ms
 HTTP  12/30/2024 9:30:42 PM 79.152.225.26 GET /favicon.ico
 HTTP  12/30/2024 9:30:42 PM 79.152.225.26 Returned 304 in 1 ms
